,stt,enso,sam,ao_mar,lst,mse_850,vm_eof2,tp_feb,scssm_onset
1940,3.8355953930974502,-0.92074585,1725.8672,-1.048428599184137,1.0391235,-0.7774494235385419,1.0390284672265009,0.0009909162,29
1941,2.5468275971267094,-1.780426,2350.1875,-1.0965087892464154,1.581604,-0.44485969941160874,-0.3012056007455121,0.00081725017,30
1942,-2.53792394253856,-0.13409424,2032.8672,-0.787515916402342,1.6852417,1.7760967239341312,-0.2710428369080248,0.00084067485,32
1943,3.3937479074958694,2.3985596,594.8594,0.8154489974210652,-0.12063599,-3.3076953878764357,0.5151700882577533,0.00083335524,26
1944,1.8116812476434012,0.6390381,1341.9844,-0.3249258457794264,0.8834839,-1.7164081539838207,-0.7855344861704392,0.0008577718,29
1945,-0.18476335452683026,1.581604,706.8594,0.6390412487874375,1.4346008,2.478638845533794,-0.14792268817968166,0.00090109365,24
1946,3.1949393530254993,1.9788513,819.5625,-0.13850756120084717,1.1537781,2.5424297415357273,-1.0884435234342293,0.0008493364,26
1947,5.682532563193764,0.6733093,742.8906,-1.1851193732103507,1.5253296,3.1319164383189673,1.5031757624021402,0.0008032566,34
1948,3.2941134949207145,-0.11709595,1451.2969,1.6689859943875553,1.0596924,0.19207574252402537,-1.0688679641134302,0.0008442311,30
1949,1.9215656322953762,0.0519104,1057.4375,-0.004866410087989204,0.7016907,0.5074840701666403,-0.05127825951943475,0.00083297276,31
1950,3.387095946679295,1.2438049,644.3125,0.2382226272749341,1.1570435,1.4679424466373803,0.4497125192480593,0.00081718154,31
1951,4.3120680547627215,0.7046814,1953.6016,-1.7762848862701257,0.7746887,-0.6914111886106866,0.050432215136599984,0.00082177017,25
1952,2.1890159474953412,-0.08166504,908.5156,-1.6412282816883115,1.8822937,0.7552837601256783,-0.13059987897134784,0.00084591494,32
1953,3.390373172746163,-0.17852783,1865.8906,0.7349373882321313,1.8484802,0.5325145975339183,-1.1822966675073112,0.0008355459,34
1954,2.7754162272534058,0.28808594,1331.0703,0.1641528832399426,1.6511536,2.5798260013483514,-0.4876184926544145,0.00085283624,32
1955,-2.3294447202646897,0.9423218,1783.0781,-1.35390802396926,0.5743408,-0.6080310518684087,-0.37511041145799984,0.00082029845,29
1956,3.466068156514688,0.93600464,932.5703,0.6436414230026866,0.5420227,0.09980281288352444,1.0026037445139557,0.0008221606,31
1957,2.9936115401096797,-0.3305664,927.4219,-1.2592978330165348,1.2396545,0.8126720780261394,2.0601411458595518,0.00081854034,32
1958,0.496967709068767,-1.0578308,1425.1172,-1.9491827352040982,0.16308594,0.044065513090572495,0.5943009955339051,0.00084420596,29
1959,4.634097841692732,-0.65582275,1940.8828,1.3662284630112425,1.4888306,-0.09676395223556256,0.26366504788950684,0.00081159256,30
1960,0.6280530964127005,0.19430542,1890.5859,-0.977793370587221,0.96813965,0.6215374418133024,-0.7528588521805751,0.000845705,30
1961,7.568987075382812,0.82547,1398.4531,0.28906963113426803,0.9451904,0.1546276542214855,-0.8510946924594085,0.00085037365,27
1962,2.5109206093226835,1.4316406,2157.5781,-2.13383472898331,1.0096436,0.5112652299109754,1.007538056734961,0.00083305547,28
1963,1.5570496054055905,1.5105286,2121.0312,0.2944752275648186,0.82315063,-0.8650073506495346,2.4426225042302727,0.00084351096,30
1964,-1.5663004891149124,0.90667725,798.6094,-0.13216181612001943,0.8000183,1.2674175785555235,-0.11109321905230941,0.00082888105,28
1965,4.311021245516268,0.6125488,1389.9219,-0.4266347658047757,0.95025635,-1.9786975313018615,1.458432259048301,0.0008505746,29
1966,4.158581111546286,-0.7241516,1419.125,-0.6044214058849376,1.3638,0.019083843215753404,-0.3907870573082461,0.0008785731,25
1967,6.655643156010893,0.9356384,163.15625,1.0385350504595143,0.8468933,-1.5496936201573135,-0.05414261786417527,0.0008700689,29
1968,3.7060907949620105,1.6451721,1238.5781,1.2573904175465695,0.20431519,-2.6278704975928235,1.7742454097154712,0.0008639577,34
1969,4.135346076477078,-0.70996094,74.47656,-1.0724853905474205,0.8020325,-1.6508410762002086,0.1168741003809056,0.00084209145,29
1970,3.0233817595485553,0.9181824,1814.6875,-1.3601731942855637,0.6307068,-0.3610064790264005,0.18921291874989724,0.00081658195,32
1971,3.223087448785557,2.4997864,1362.25,-0.6757696372908152,1.0014954,-0.15933716505566053,0.8290126075314758,0.0008530126,25
1972,3.132990789954395,0.62524414,321.22656,0.056505134399163534,1.2101746,0.25534484422752257,0.5460387952183546,0.000857756,26
1973,4.9937776409472185,-0.7933655,1109.9219,0.5532770010775591,0.7626953,-2.2919482441454875,-0.2800956031297732,0.00089509407,33
1974,3.616337087673004,1.9602661,1587.3672,0.19278516232084256,1.197052,-0.17063171337792937,0.8061691847831367,0.00088041794,29
1975,1.1641817889937767,0.6968384,884.40625,-0.007820889350456642,0.78079224,1.0835278349678106,-0.40149212435014603,0.00086819904,31
1976,-1.2490397702015783,1.4907532,1297.2109,0.5615538120055698,1.2962646,-0.041340936998949473,0.17032462256323766,0.0008301896,26
1977,0.8236165962587656,0.5328064,545.3594,-0.13299993366864288,0.6618347,1.3907360918154836,-0.16388316233821382,0.00083737756,28
1978,2.769478352577386,0.07211304,2003.4219,0.4766505243407695,0.5009155,-0.20865050241690142,0.05984365950924492,0.0008525375,29
1979,7.199553358816832,0.100372314,1880.0703,-0.5483726652639345,0.338562,-0.25182371774303647,-0.13953726555353732,0.00085579493,27
1980,1.3774076618990518,0.12207031,1488.6797,-0.8594866672106,0.31600952,0.04768495169639664,1.0327274333690404,0.00085956557,27
1981,-0.34030625108350226,1.0205078,1676.1016,-1.167100718467016,0.22964478,-0.4454699530828634,0.9455612892688369,0.00087767706,31
1982,1.6810351386891949,0.24459839,1361.0391,0.6077705533037367,0.31085205,-0.07146787544024846,0.7862653331755267,0.0008672776,31
1983,2.676395056153597,-2.4083252,929.15625,0.09924824513322604,0.7701721,-2.8277453388133154,-0.05358796918467151,0.00092005107,34
1984,-0.41077926136578463,0.97406006,659.40625,-1.0567364194597,0.633667,2.1355816900011746,0.6480508587597589,0.0008859359,32
1985,0.6207184415492752,0.98495483,938.75,0.30645721467876297,1.3977356,1.1241162383468577,0.15045224101255228,0.0008570477,30
1986,1.1462970135479742,1.2106018,1761.1406,1.885151617821568,0.619751,-0.07091244572927735,0.9185755918260253,0.0008269933,27
1987,1.2285626223097676,-1.2560425,947.60156,-0.9190180552156557,0.3829956,-1.4771532880085942,-0.5628156342423983,0.0008928048,32
1988,1.855242580275712,0.3913269,1400.3438,-0.13639553487928138,0.8142395,1.5844708599465207,-2.1396948363538506,0.0008627388,29
1989,4.553480435032448,2.1146545,1810.7188,1.078556370152638,1.2642212,0.8401257696203857,-0.5605929989282983,0.00089338195,28
1990,8.041074249825488,0.5872803,1838.8359,2.1843833181571943,1.1488037,-1.5704790863308062,0.30613545936164066,0.0008587349,28
1991,0.6149938498151977,0.27615356,2015.375,-0.48113595289781724,0.12420654,-1.6620531805631913,1.883748680590051,0.00087131455,32
1992,1.144257201400979,-1.7862244,1534.9141,0.8683293973089664,0.5791626,-3.7752337201080763,0.24146500510347896,0.00089179695,28
1993,2.5385292248087845,-0.6636658,449.54688,0.8275987897074146,0.52072144,-2.6997851092623932,0.8048055920346899,0.00085785467,32
1994,5.453354743539535,0.4515381,1871.2656,1.1380002679880132,1.5274048,0.5408551519739717,0.5455963928218815,0.00081501034,25
1995,2.079182648685502,0.09625244,2330.6875,0.25325338746419973,0.37121582,-1.1123034149146633,0.3907597609844568,0.0008141126,27
1996,4.703362591856687,1.2506409,1527.0625,-0.6025010665865663,-0.038146973,0.6489362115560198,1.506761814112844,0.000893421,26
1997,6.671968663745943,1.1374207,1729.8203,0.6032721783174264,0.87649536,-2.1231798748638653,1.4138511286302406,0.0008965551,28
1998,3.935077119370306,-1.5053406,1987.8906,0.1295451312904565,0.32629395,-3.571168764018182,-0.6123217523422719,0.0008648364,29
1999,-1.7411025870283172,1.7505493,2285.6172,-1.1785919635484394,0.8501587,2.4192883917494328,-2.61069667289762,0.00086763164,30
2000,5.0786264655612205,1.7797241,2466.8984,-0.07798703537998908,1.0802917,2.968369815095116,-1.7371762180132848,0.000894663,26
2001,5.865397060913228,0.94522095,1772.2656,-1.3714610385367154,1.3727112,2.386469793128356,-2.5318459140955416,0.0008274859,26
2002,4.934222449549451,0.46237183,2235.3125,0.401325013318164,0.32522583,-2.096919486650904,-1.4529959851367091,0.0008523042,27
2003,0.8393315296483187,0.13919067,1055.9062,0.9739377555083414,0.96362305,-0.5172899676020961,-0.6731567666151106,0.00087544677,28
2004,0.9464566333024999,1.0004272,2076.3438,0.17245546750967522,0.32434082,-0.23239921808448116,-0.09505719862109838,0.0008600498,27
2005,0.295452530169173,0.1394043,1574.8906,-0.8028838692647008,0.66430664,-2.591795577941866,0.6495248192233741,0.00085384585,28
2006,4.886112763070846,1.4147949,1836.2031,-1.3760184955076566,0.9154663,1.903178179388192,-0.35541045270911303,0.00088045694,27
2007,-1.148018453349993,0.8924866,1527.5703,0.8784034945646471,0.5769043,-0.27805655937544316,-1.2401305691156068,0.0008644768,26
2008,4.621732633731224,1.8036804,2110.7266,0.12245194262921834,0.7895813,1.8444806745171718,-1.6154664858955659,0.00088824617,25
2009,-0.17370919826637105,0.9283142,1826.4688,-0.28802085032592034,1.4848938,1.75095345528473,-0.03679572289303404,0.0008642074,24
2010,3.2482350584888375,-0.6253967,1005.2578,-0.2773360702185183,0.64230347,-2.25581228933828,-0.4751802936781101,0.0008888875,29
2011,3.0899374927997787,2.0835266,1661.375,1.302948902323779,2.05307,2.050227141819903,0.1432544560218352,0.00090047566,26
2012,2.250975795403646,1.1522217,2472.8203,0.5924133474889489,1.1679382,3.051731660868768,-0.8919681741375337,0.00089055754,24
2013,1.8842209363482514,0.70306396,1622.8516,-2.44617709678113,0.41870117,0.713209324448826,-0.9388631911427407,0.0009181956,32
2014,7.093744023071218,1.0264893,1452.0469,0.9895604500669836,0.005645752,-3.030372826424184,1.4143359307961256,0.0008751495,32
2015,2.8249082506213057,0.28570557,2041.0547,1.5460457541779111,0.1927185,-2.825285543703444,1.3318734159670258,0.00088310835,34
2016,-0.46720313691592513,-1.0600586,2657.5625,0.5747001126171566,0.28338623,-0.921925555904636,-1.3101289866645736,0.00089202577,29
2017,5.751291403326048,0.90859985,1248.4453,1.2263296878379706,0.74057007,1.870136824472354,-1.1882456184658663,0.00087551825,28
2018,1.7138471782075928,1.5482788,2308.4297,-1.1232220950033267,1.0028076,1.592436021255594,-0.09610460594153407,0.000881783,31
2019,5.835784315317252,-0.5383301,2334.0625,1.5775869263857363,0.22085571,-3.565605358133098,-1.0194846921886842,0.0008939265,25
2020,2.3414173465961974,0.36941528,1651.375,1.5575097074861537,-0.013000488,-0.15760669845923303,-0.8636327981007071,0.0008980987,33
2021,3.661345966259134,1.3630066,2050.6953,1.0979424551315555,0.33029175,1.525446892855257,-1.200226452621721,0.00088544865,29
2022,-0.7350803080316822,1.7867126,2250.3047,0.5972515324091598,1.0206299,1.887241939247815,0.7978909677691933,0.0008839072,27
2023,5.551239226608111,0.9055176,2802.4062,-0.16083530845696162,0.3413086,0.832685667281055,0.35599128959235,0.00087312324,26
2024,0.226125606484918,-0.5006714,2499.6328,-0.23538874778363264,0.21511841,0.3456342781267949,0.03630393922437643,0.0008612017,30
2025,2.4203639733122344,0.8964844,1369.4688,0.6152090315854973,0.80422974,3.391938601863103,0.11400988970531405,0.0008648897,30
